,set,artist,artist,track,track,track,track,track,track
1193,training,215,19,2008-11-26 02:40:48,Folk,[17],9,1730,1522
1195,training,215,19,2008-11-26 02:40:52,Folk,[17],3,1211,1038
1196,training,215,19,2008-11-26 02:40:56,Folk,[17],2,929,777
1197,training,215,19,2008-11-26 02:41:00,Folk,[17],2,1024,868
1249,test,163,19,2008-11-26 02:45:39,Experimental,[32],3,1232,978
1259,test,163,19,2008-11-26 02:46:40,Experimental,[32],6,3547,2740
1270,training,221,2,2008-11-26 02:47:19,Rock,[25],0,3990,3300
1276,training,222,25,2008-11-26 02:47:30,Experimental,[22],3,2335,2038
1277,training,222,25,2008-11-26 02:47:33,Experimental,[22],2,2980,1892
1278,training,222,25,2008-11-25 22:47:38,Experimental,[22],5,3728,2556
1417,training,239,27,2008-11-26 02:55:45,Rock,[12],14,7349,6911
1427,training,240,15,2008-11-26 02:56:29,Rock,[12],12,3016,2548
1443,training,242,33,2008-11-26 02:58:24,Experimental,[47],9,2085,1336
1482,training,249,0,2008-11-26 03:00:45,Electronic,[15],7,93276,77299
1510,training,253,0,2008-11-26 03:02:08,Experimental,[32],2,2199,1768
1544,training,259,22,2008-11-26 03:04:06,Folk,[33],8,3937,2537
1642,training,269,35,2008-11-26 02:59:54,Pop,[10],0,2458,277
1644,training,269,35,2008-11-26 02:59:59,Pop,[10],1,1476,579
1649,training,269,35,2008-11-26 03:00:16,Pop,[10],0,1280,673
1661,training,269,35,2008-11-26 03:00:42,Pop,[10],0,1770,693
1663,training,271,3,2008-11-26 03:00:46,Pop,[10],1,1363,960
1666,training,271,3,2008-11-26 03:00:53,Pop,[10],2,1153,568
1673,training,272,0,2008-11-26 03:01:16,Experimental,[30],0,5929,512
1680,training,1259,12,2008-11-26 03:01:37,International,[2],0,2168,1240
1681,training,1259,12,2008-11-26 03:01:42,International,[2],1,1715,703
1682,training,1259,12,2008-11-26 03:01:45,International,[2],5,2850,1668
1683,training,1259,12,2008-11-26 03:01:50,International,[2],0,1346,518
1684,training,1259,12,2008-11-26 03:01:55,International,[2],11,4384,3288
1685,training,1259,12,2008-11-26 03:01:58,International,[2],0,1264,517
1686,training,1259,12,2008-11-26 03:02:04,International,[2],1,2011,657
1687,training,1259,12,2008-11-26 03:02:10,International,[2],0,1351,476
1688,training,1259,12,2008-11-26 03:02:18,International,[2],1,1052,423
1689,training,1259,12,2008-11-26 03:02:23,International,[2],1,1183,500
1701,training,278,18,2008-11-26 03:03:10,Folk,[17],4,2486,543
1702,training,278,18,2008-11-26 03:03:17,Folk,[17],3,2531,689
1703,training,278,18,2008-11-26 03:03:20,Folk,[17],3,3764,2845
1704,training,278,18,2008-11-26 03:03:31,Folk,[17],3,2573,517
1706,training,279,5,2008-11-26 03:03:41,Rock,[12],13,3180,2308
1720,training,281,58,2008-11-26 03:04:09,Rock,[58],15,4746,3282
1732,training,288,42,2008-11-26 03:04:48,Experimental,[38],7,2094,1030
1733,training,288,42,2008-11-26 03:04:52,Experimental,[38],26,4162,3544
1735,training,288,42,2008-11-26 03:04:57,Experimental,[38],22,9711,3332
1736,training,288,42,2008-11-26 03:04:59,Experimental,[38],6,2412,682
1883,training,304,5,2008-11-26 03:11:42,Rock,[12],10,2711,2403
1891,training,305,89,2008-11-26 03:12:02,Rock,[12],22,37395,4896
1893,validation,306,20,2008-11-26 03:12:06,Folk,[17],4,1253,753
1924,training,312,4,2008-11-26 03:13:48,Folk,[17],2,2522,599
1925,training,312,4,2008-11-26 03:13:49,Folk,[17],4,3073,1017
1929,training,314,61,2008-11-26 03:13:57,Experimental,[1],20,5525,4684
1930,training,315,4,2008-11-26 03:14:00,Rock,[98],3,5116,2464
2012,validation,330,8,2008-11-26 03:18:33,Experimental,[32],1,2113,1383
2096,training,150,60,2008-11-26 03:22:02,Experimental,[38],9,1627,1019
2097,training,153,8,2008-11-26 03:22:06,Folk,[17],4,2083,1822
2099,training,348,0,2008-11-26 03:22:12,Pop,[76],2,1931,1106
3263,validation,390,2,2008-12-04 19:24:16,Folk,[17],1,2034,952
3264,validation,390,2,2008-12-04 19:24:25,Folk,[17],1,2354,1178
3265,validation,390,2,2008-12-04 19:24:30,Folk,[17],0,1880,598
3266,validation,390,2,2008-12-04 19:24:37,Folk,[17],0,1888,550
3270,training,417,10,2008-12-04 19:25:19,Folk,[17],3,2173,1787
3271,training,417,10,2008-12-04 19:25:23,Folk,[17],6,2055,1680
3272,training,417,10,2008-12-04 19:25:27,Folk,[17],8,2122,1693
3273,training,417,10,2008-12-04 19:25:30,Folk,[17],11,1888,1474
3274,training,417,10,2008-12-04 19:25:36,Folk,[17],14,3574,2986
3492,training,575,14,2008-12-04 19:49:40,Rock,[12],11,4658,2718
3532,training,610,13,2008-12-04 19:52:29,Pop,[76],3,3102,2086
3533,training,610,13,2008-12-04 19:52:32,Pop,[76],1,2595,765
3534,training,610,13,2008-12-04 19:52:34,Pop,[76],6,2864,1461
3535,training,610,13,2008-12-04 19:52:38,Pop,[76],1,1947,779
3537,training,610,13,2008-12-04 19:52:45,Pop,[76],2,1863,537
3538,training,610,13,2008-12-04 19:52:48,Pop,[76],5,1943,652
3573,training,1647,45,2008-12-04 19:58:19,Electronic,[15],15,7512,6678
3598,training,127,7,2008-12-04 20:00:43,Folk,[17],2,3020,903
3624,test,728,1,2008-12-04 20:02:40,Rock,"[12, 89]",3,3467,2303
3707,training,844,7,2008-12-04 20:10:06,Folk,[17],1,3731,1726
3708,training,844,7,2008-12-04 20:10:11,Folk,[17],5,2179,1525
3720,training,876,18,2008-12-04 20:12:01,Rock,"[53, 58]",9,6923,6074
3721,training,876,18,2008-12-04 20:12:04,Rock,"[53, 58]",6,4980,3970
3722,training,876,18,2008-12-04 20:12:06,Rock,"[53, 58]",12,9700,9378
3724,training,876,18,2008-12-04 20:12:11,Rock,"[53, 58]",3,6607,6095
3725,training,876,18,2008-12-04 20:12:13,Rock,"[53, 58]",2,5345,4229
3761,training,921,16,2008-12-04 20:16:38,Rock,"[12, 26]",3,8593,8178
3762,training,921,16,2008-12-04 20:16:42,Rock,"[12, 26]",3,6208,5603
3763,training,921,16,2008-12-04 20:16:46,Rock,"[12, 26]",20,28410,11532
3765,training,921,16,2008-12-04 20:16:56,Rock,"[12, 26]",5,4360,3704
3766,training,921,16,2008-12-04 20:17:00,Rock,"[12, 26]",5,3540,2979
3775,training,932,5,2008-12-04 20:18:14,International,"[46, 117]",5,5995,4795
3776,training,932,5,2008-12-04 20:18:20,International,"[46, 117]",2,2776,1831
3777,training,932,5,2008-12-04 20:18:26,International,"[46, 117]",2,4094,2375
3778,training,932,5,2008-12-04 20:18:32,International,"[46, 117]",5,5813,4105
3779,training,932,5,2008-12-04 20:18:35,International,"[46, 117]",2,4636,3031
3832,training,1615,1,2008-12-04 20:22:24,Folk,[17],0,4219,3787
3833,training,190,64,2008-12-04 20:22:32,Rock,[12],3,3428,2639
3840,training,190,64,2008-12-04 20:23:30,Rock,[12],3,4680,4201
3880,training,826,12,2008-12-04 20:28:14,Folk,[17],5,5811,3092
3895,training,1023,2,2008-12-04 20:29:56,International,[118],3,1191,719
3896,training,1023,2,2008-12-04 20:30:02,International,[118],4,3054,1453
3904,training,559,20,2008-12-04 20:32:16,Folk,[17],6,3017,1869
3905,training,559,20,2008-12-04 20:32:21,Folk,[17],3,3207,1320
3906,training,559,20,2008-12-04 20:32:26,Folk,[17],4,2472,1441
3908,training,559,20,2008-12-04 20:32:32,Folk,[17],4,2368,999
3909,training,559,20,2008-12-04 20:32:37,Folk,[17],4,2789,1022
3910,training,559,20,2008-12-04 20:32:43,Folk,[17],9,2554,1786
3911,training,559,20,2008-12-04 20:32:46,Folk,[17],3,2320,1334
3912,training,559,20,2008-12-04 20:32:49,Folk,[17],5,1631,944
3913,training,559,20,2008-12-04 20:32:52,Folk,[17],9,3035,1475
3920,training,851,4,2008-12-04 20:33:15,Folk,[17],4,4528,1384
3921,training,851,4,2008-12-04 20:33:18,Folk,[17],4,3643,1449
3950,training,1037,5,2008-12-04 20:34:59,Rock,"[12, 85]",7,3966,2528
4013,training,1070,7,2008-12-04 20:41:38,Folk,[17],0,1204,791
4017,training,1070,7,2008-12-04 20:42:01,Folk,[17],1,1278,611
4022,validation,1072,15,2008-12-04 20:42:51,Rock,[109],0,3849,3079
4037,training,1622,0,2008-12-04 20:43:23,Folk,[103],5,7324,6602
4066,training,1374,1,2008-12-04 20:46:15,Folk,[33],3,2807,412
4067,training,1374,1,2008-12-04 20:46:18,Folk,[33],2,3068,329
4068,training,1374,1,2008-12-04 20:46:23,Folk,[33],2,3729,649
4069,training,1374,1,2008-12-04 20:46:26,Folk,[33],6,4883,1693
4070,training,1134,6,2008-12-04 20:46:30,International,[46],1,9179,7216
4071,training,1134,6,2008-12-04 20:46:36,International,[46],4,3600,2571
4072,training,1134,6,2008-12-04 20:46:38,International,[46],3,3768,2547
4073,training,1134,6,2008-12-04 20:46:41,International,[46],0,3087,2322
4074,training,1134,6,2008-12-04 20:46:44,International,[46],1,2714,1913
4075,training,1134,6,2008-12-04 20:46:48,International,[46],1,2427,1636
4076,training,1134,6,2008-12-04 20:46:52,International,[46],1,3506,2039
4077,training,1134,6,2008-12-04 20:46:55,International,[46],1,2477,1345
4078,training,1134,6,2008-12-04 20:46:58,International,[46],2,2893,1629
4079,training,1134,6,2008-12-04 20:47:01,International,[46],1,2006,1543
4080,training,1134,6,2008-12-04 20:47:04,International,[46],1,2284,1711
4091,training,1140,9,2008-12-04 20:48:56,International,"[117, 118, 130]",1,5424,2850
4092,training,1140,9,2008-12-04 20:48:59,International,"[117, 118, 130]",1,4429,1952
4093,training,1140,9,2008-12-04 20:49:01,International,"[117, 118, 130]",4,5438,2211
4094,training,1140,9,2008-12-04 20:49:04,International,"[117, 118, 130]",2,3625,1301
4095,training,1140,9,2008-12-04 20:49:07,International,"[117, 118, 130]",6,4146,1887
4096,training,1140,9,2008-12-04 20:49:09,International,"[117, 118, 130]",2,4206,1350
4097,training,1140,9,2008-12-04 20:49:13,International,"[117, 118, 130]",1,3438,1305
4098,training,1140,9,2008-12-04 20:49:15,International,"[117, 118, 130]",3,5155,1582
4099,training,1140,9,2008-12-04 20:49:18,International,"[117, 118, 130]",2,3679,1573
4100,training,1140,9,2008-12-04 20:49:21,International,"[117, 118, 130]",9,7912,4187
4101,training,1140,9,2008-12-04 20:49:24,International,"[117, 118, 130]",3,5923,2158
4102,training,1140,9,2008-12-04 20:49:26,International,"[117, 118, 130]",0,5558,2128
4103,training,1140,9,2008-12-04 20:49:29,International,"[117, 118, 130]",4,7268,3365
4108,test,1152,44,2008-12-04 20:49:40,Rock,[12],21,11367,8165
4232,training,1259,12,2008-12-04 20:56:58,International,"[92, 102]",8,8575,4170
4233,training,1259,12,2008-12-04 20:57:03,International,"[92, 102]",1,4564,1758
4234,training,1259,12,2008-12-04 20:57:06,International,"[92, 102]",4,6600,2716
4235,training,1259,12,2008-12-04 20:57:10,International,"[92, 102]",0,5701,1897
4236,training,1259,12,2008-12-04 20:57:17,International,"[92, 102]",2,5435,1760
4239,training,1259,12,2008-12-04 20:57:35,International,"[92, 102]",0,9903,5440
4450,training,1344,3,2008-12-04 21:13:50,Folk,[17],1,1769,541
4507,training,1423,4,2008-12-04 21:18:35,International,[77],7,7272,3765
4508,training,1423,4,2008-12-04 21:18:37,International,[77],8,6637,2087
4509,training,1423,4,2008-12-04 21:18:41,International,[77],5,7029,2391
4510,training,1423,4,2008-12-04 21:18:43,International,[77],6,7769,2322
4511,training,1423,4,2008-12-04 21:18:46,International,[77],5,9793,3946
4519,training,846,38,2008-12-04 21:21:24,Electronic,[15],13,33081,28728
4520,training,846,38,2008-12-04 21:21:26,Electronic,[15],25,22786,18365
4521,training,846,38,2008-12-04 21:21:29,Electronic,[15],9,24779,23431
4522,training,846,38,2008-12-04 21:21:33,Electronic,[15],7,18880,17222
4682,training,618,29,2008-12-19 12:48:41,Hip-Hop,[21],1,6008,3694
4684,training,618,29,2008-12-19 12:48:41,Hip-Hop,[21],1,2940,1707
4685,training,618,29,2008-12-19 12:48:42,Hip-Hop,[21],3,4317,2770
4688,training,618,29,2008-12-19 12:48:44,Hip-Hop,[21],4,2858,1086
4777,training,823,38,2008-12-23 12:35:32,Rock,[12],5,14024,11941
4778,training,823,38,2008-12-23 12:36:25,Rock,[12],2,8161,6931
4779,training,823,38,2008-12-23 12:37:28,Rock,[12],2,3394,2675
4780,training,823,38,2008-12-23 12:37:59,Rock,[12],1,5502,4485
4781,training,823,38,2008-12-23 12:38:49,Rock,[12],1,4290,3247
4782,training,823,38,2008-12-23 12:39:39,Rock,[12],2,3564,2466
4784,training,823,38,2008-12-23 12:40:45,Rock,[12],2,5982,5091
4785,training,823,38,2008-12-23 12:41:28,Rock,[12],2,4018,2795
4786,training,823,38,2008-12-23 12:42:01,Rock,[12],4,3817,2646
4787,training,823,38,2008-12-23 12:43:12,Rock,[12],2,4360,2741
4788,training,823,38,2008-12-23 12:43:57,Rock,[12],2,5475,3340
4799,training,834,15,2008-12-23 13:10:59,Rock,[12],6,4128,2570
4835,training,1119,4,2008-12-30 09:00:02,Rock,[12],3,3180,2530
4836,training,1119,4,2008-12-30 09:00:02,Rock,[12],4,3207,2644
4838,training,1119,4,2008-12-30 09:00:04,Rock,[12],5,6337,4430
4846,training,911,2,2009-01-02 12:36:38,International,[102],12,3618,2793
4848,training,911,2,2009-01-02 12:36:40,International,[102],0,2655,2210
4849,training,911,2,2009-01-02 12:36:41,International,[102],6,4635,3644
5006,training,1075,16,2009-01-06 13:30:01,Rock,"[25, 85]",15,6494,5982
5156,training,1625,2,2009-01-21 08:04:59,Folk,[17],5,5194,1864
5157,training,1625,2,2009-01-21 08:06:19,Folk,[17],7,4380,1447
5158,training,1625,2,2009-01-21 08:07:24,Folk,[17],10,7412,2854
5159,training,1625,2,2009-01-21 08:09:05,Folk,[17],7,3931,1475
5169,training,1625,2,2009-01-21 08:12:43,Folk,[17],6,4435,1608
5170,training,1625,2,2009-01-21 08:18:30,Folk,[17],9,5191,1973
5171,training,1625,2,2009-01-21 08:21:24,Folk,[17],7,4300,2133
5191,validation,334,6,2009-01-21 13:24:19,Pop,[10],0,1084,534
5264,training,618,29,2009-01-22 12:05:53,Hip-Hop,[21],1,2168,1238
5268,training,618,29,2009-01-22 12:05:55,Hip-Hop,[21],15,3623,4020
5376,training,826,12,2009-01-26 07:33:30,Folk,[17],2,832,711
5381,training,826,12,2009-01-26 07:33:34,Folk,[17],2,972,822
5521,training,1764,2,2009-01-30 08:39:59,Experimental,[224],2,1384,963
5879,training,308,12,2009-02-05 22:06:03,Folk,[94],4,1543,925
5936,training,1796,0,2009-02-09 10:21:39,Folk,[103],2,3414,2184
5940,training,1797,0,2009-02-09 10:33:04,Folk,[103],0,1601,900
6329,training,1832,2,2009-02-17 12:31:12,International,"[2, 118]",2,1857,918
6330,training,1259,12,2009-02-17 12:31:52,International,"[2, 92]",1,3692,1317
6331,validation,1834,4,2009-02-17 12:31:59,International,"[2, 118, 130]",4,2390,1617
6332,training,1835,6,2009-02-17 12:34:26,International,"[2, 118]",0,2070,602
6333,validation,1836,3,2009-02-17 12:34:46,International,"[2, 102, 118]",0,4154,1523
6342,training,1837,12,2009-02-17 12:36:35,International,"[2, 102]",8,7401,3589
6354,training,1259,12,2009-02-17 12:42:19,International,"[2, 92]",0,3810,1015
6357,training,1835,6,2009-02-17 12:43:38,International,"[2, 118]",0,1532,510
6358,validation,1834,4,2009-02-17 12:45:05,International,"[2, 118, 130]",0,2064,762
6360,training,1839,8,2009-02-17 12:49:15,International,"[2, 102, 118]",3,8886,5002
6363,validation,1836,3,2009-02-17 12:52:30,International,"[2, 102, 118]",1,3644,1276
6366,training,1837,12,2009-02-17 12:54:42,International,"[2, 102]",5,4103,3607
6367,training,1259,12,2009-02-17 12:54:54,International,"[2, 92]",0,3420,856
6368,validation,1834,4,2009-02-17 12:55:03,International,"[2, 118, 130]",2,2615,1143
6370,training,1835,6,2009-02-17 13:02:06,International,"[2, 118]",0,1381,382
6372,validation,1836,3,2009-02-17 13:05:42,International,"[2, 102, 118]",2,4813,1567
6373,training,1839,8,2009-02-17 13:05:52,International,"[2, 102, 118]",6,6194,2598
6376,validation,1834,4,2009-02-17 13:09:48,International,"[2, 118, 130]",1,2261,643
6379,training,1259,12,2009-02-17 13:12:48,International,"[2, 92]",0,4047,1385
6380,validation,1836,3,2009-02-17 13:13:19,International,"[2, 102, 118]",3,4450,1675
6381,training,1835,6,2009-02-17 13:16:22,International,"[2, 118]",0,1412,745
6382,training,1832,2,2009-02-17 13:20:01,International,"[2, 118]",0,1599,1037
6383,training,1839,8,2009-02-17 13:20:18,International,"[2, 102, 118]",14,6200,4867
6385,validation,1836,3,2009-02-17 13:22:56,International,"[2, 102, 118]",1,4825,2138
6387,training,1835,6,2009-02-17 13:24:34,International,"[2, 118]",1,2166,1113
6389,training,1259,12,2009-02-17 13:26:52,International,"[2, 92]",0,4120,1716
6390,validation,1834,4,2009-02-17 13:26:54,International,"[2, 118, 130]",1,2623,881
6393,training,1837,12,2009-02-17 13:30:44,International,"[2, 102]",5,2570,2259
6394,training,1832,2,2009-02-17 13:33:25,International,"[2, 118]",3,1717,493
6396,training,1832,2,2009-02-17 13:54:55,International,"[2, 118]",1,1823,615
6406,training,1061,30,2009-02-18 07:43:01,Folk,[33],5,3530,1423
6407,training,1061,30,2009-02-18 07:43:02,Folk,[33],4,1424,655
6439,training,706,11,2009-02-18 10:13:56,Hip-Hop,[21],2,16123,13720
6440,training,706,11,2009-02-18 10:13:58,Hip-Hop,[21],2,6785,5193
6442,training,706,11,2009-02-18 10:13:58,Hip-Hop,[21],3,3556,2423
6443,training,706,11,2009-02-18 10:13:59,Hip-Hop,[21],0,3663,2635
6448,training,706,11,2009-02-18 10:14:05,Hip-Hop,[21],1,3178,2233
6459,training,1837,12,2009-02-18 11:11:37,International,"[2, 102]",2,2912,2512
6461,validation,458,6,2009-02-18 11:45:01,Folk,[17],2,1908,1122
6463,validation,458,6,2009-02-18 11:45:01,Folk,[17],6,1456,596
6467,validation,458,6,2009-02-18 11:45:05,Folk,[17],2,1424,589
6469,training,1839,8,2009-02-18 11:52:46,International,"[2, 102, 118]",13,7938,4145
6517,training,1844,3,2009-02-19 10:33:23,Rock,[12],3,3815,2771
6519,training,1844,3,2009-02-19 10:33:24,Rock,[12],5,4105,2564
6603,training,1882,3,2009-02-20 11:08:45,Hip-Hop,[21],1,3670,2088
6605,training,1882,3,2009-02-20 11:08:48,Hip-Hop,[21],3,3499,1795
6606,training,1882,3,2009-02-20 11:08:48,Hip-Hop,[21],1,2999,1554
6607,training,1882,3,2009-02-20 11:08:48,Hip-Hop,[21],1,3685,1598
6608,training,1882,3,2009-02-20 11:08:49,Hip-Hop,[21],1,2947,1160
6609,training,1882,3,2009-02-20 11:08:50,Hip-Hop,[21],1,3509,1725
6610,training,1882,3,2009-02-20 11:08:52,Hip-Hop,[21],2,2817,1185
6611,training,1882,3,2009-02-20 11:08:53,Hip-Hop,[21],2,3594,1628
6674,training,1771,0,2009-02-23 07:23:58,Experimental,[32],0,3464,2042
6675,training,1771,0,2009-02-23 07:23:59,Experimental,[32],1,3475,1890
6677,training,1771,0,2009-02-23 07:24:02,Experimental,[32],0,2601,1727
6679,training,1771,0,2009-02-23 07:24:03,Experimental,[32],1,3282,2221
6680,training,1771,0,2009-02-23 07:24:04,Experimental,[32],1,3157,1826
6684,training,1771,0,2009-02-23 07:24:06,Experimental,[32],1,4407,2417
6762,validation,458,6,2009-02-25 06:53:08,Folk,[17],3,4818,1760
6776,training,889,3,2009-02-25 12:42:50,Rock,[101],3,4330,2430
6778,training,889,3,2009-02-25 12:42:51,Rock,[101],6,5022,2992
6779,validation,1346,1,2009-02-25 12:46:26,Folk,[17],0,2713,865
6782,validation,1346,1,2009-02-25 12:46:27,Folk,[17],5,4312,1355
6783,validation,1346,1,2009-02-25 12:46:28,Folk,[17],1,2408,693
6788,training,1119,4,2009-02-25 14:05:50,Rock,[12],4,3171,2759
6802,training,1729,3,2009-02-26 07:08:45,International,[2],4,6553,4725
6803,training,1729,3,2009-02-26 07:08:46,International,[2],5,3481,2312
6854,training,1615,1,2009-02-26 12:37:19,Folk,[17],6,8372,7190
6855,training,1615,1,2009-02-26 12:37:19,Folk,[17],7,5839,5014
6856,training,1615,1,2009-02-26 12:37:20,Folk,[17],2,5814,4635
6857,training,16207,4,2009-02-26 12:50:32,Folk,[33],2,3725,1460
7011,validation,1907,77,2009-03-04 12:03:50,Electronic,[15],15,7978,5633
7373,test,10,111,2009-03-06 13:40:29,Experimental,"[22, 38]",10,4916,4325
7374,test,10,111,2009-03-06 13:40:30,Experimental,"[22, 38]",10,3806,3373
7375,test,10,111,2009-03-06 13:40:30,Experimental,"[22, 38]",4,2919,2555
7376,test,10,111,2009-03-06 13:40:31,Experimental,"[22, 38]",5,1754,1418
7377,test,10,111,2009-03-06 13:40:31,Experimental,"[22, 38]",7,3339,2508
7378,test,10,111,2009-03-06 13:40:31,Experimental,"[22, 38]",6,1771,1277
7379,test,10,111,2009-03-06 13:40:32,Experimental,"[22, 38]",4,2861,2252
7381,test,10,111,2009-03-06 13:40:33,Experimental,"[22, 38]",4,1273,979
7383,test,10,111,2009-03-06 13:40:34,Experimental,"[22, 38]",5,2351,1847
7385,test,10,111,2009-03-06 13:40:35,Experimental,"[22, 38]",8,16250,11911
7386,test,10,111,2009-03-06 13:40:35,Experimental,"[22, 38]",5,1482,930
7388,test,10,111,2009-03-06 13:40:36,Experimental,"[22, 38]",3,1475,869
7391,test,10,111,2009-03-06 13:40:37,Experimental,"[22, 38]",36,34220,29134
7393,test,10,111,2009-03-06 13:40:37,Experimental,"[22, 38]",4,1350,867
7481,training,1953,8,2009-03-11 10:36:02,Hip-Hop,[21],3,2950,1601
7482,training,1953,8,2009-03-11 10:36:03,Hip-Hop,[21],5,3303,1625
7483,training,1953,8,2009-03-11 10:36:03,Hip-Hop,[21],5,2671,1413
7487,training,1953,8,2009-03-11 10:36:05,Hip-Hop,[21],3,2229,1232
7488,training,1953,8,2009-03-11 10:36:06,Hip-Hop,[21],1,3004,1824
7489,training,1953,8,2009-03-11 10:36:06,Hip-Hop,[21],5,3592,1816
7490,training,1953,8,2009-03-11 10:36:06,Hip-Hop,[21],3,3571,1713
7491,training,1953,8,2009-03-11 10:36:06,Hip-Hop,[21],5,3010,1461
